,,,,,,,,,,,,Vendor,Dell Inc.
,,,,,,,,,,,,Product,G5 5587
,,,,,,,,,,,,CPU, Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz 
,,,,,,,,,,,,Bogomips,4399.99
,,,,,,,,,,,,Kernel,6.2.0-34-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_getBlockByHash_14M.tar
,,,,,,,,,,,,VegetaChecksum,11574   249
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 12.3.0-1ubuntu1~22.04) 12.3.0
Copyright (C) 2022 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version,master 29b40fc5c4a8039503b7dd3912ebd8c1efd2202e
,,,,,,,,,,,,Erigon version, b39f3245d48055627e06e2c508362e77ab766409


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
silk,[1. 1] ,28 ,1,1,  20.049ms, 20.049ms, 20.049ms, 20.049ms, 20.049ms, 20.049ms, 20.049ms ,100.00%,^M
silk,[1. 2] ,28 ,1,1,  1.439ms, 1.439ms, 1.439ms, 1.439ms, 1.439ms, 1.439ms, 1.439ms ,100.00%,^M
silk,[1. 3] ,28 ,1,1,  1.41ms, 1.41ms, 1.41ms, 1.41ms, 1.41ms, 1.41ms, 1.41ms ,100.00%,^M
silk,[1. 4] ,28 ,1,1,  1.389ms, 1.389ms, 1.389ms, 1.389ms, 1.389ms, 1.389ms, 1.389ms ,100.00%,^M
silk,[1. 5] ,28 ,1,1,  1.404ms, 1.404ms, 1.404ms, 1.404ms, 1.404ms, 1.404ms, 1.404ms ,100.00%,^M
silk,[2. 1] ,28 ,50,30,  503.593µs, 6.761ms, 4.046ms, 8.565ms, 36.353ms, 50.888ms, 89.126ms ,100.00%,^M
silk,[2. 2] ,28 ,50,30,  491.688µs, 6.281ms, 3.724ms, 7.794ms, 22.178ms, 49.134ms, 131.53ms ,100.00%,^M
silk,[2. 3] ,28 ,50,30,  171.094µs, 5.784ms, 3.192ms, 7.289ms, 39.883ms, 48.589ms, 52.689ms ,100.00%,^M
silk,[2. 4] ,28 ,50,30,  150.57µs, 4.205ms, 2.173ms, 4.698ms, 7.114ms, 44.771ms, 48.697ms ,100.00%,^M
silk,[2. 5] ,28 ,50,30,  154.045µs, 4.129ms, 2.141ms, 4.512ms, 6.769ms, 45.231ms, 45.459ms ,100.00%,^M
silk,[3. 1] ,28 ,1500,20,  106.692µs, 6.809ms, 3.82ms, 14.919ms, 24.305ms, 50.995ms, 149.016ms ,100.00%,^M
